                          Area.peak KS.trans Combined
spec-6718-56398-0138.fits  0.985005 0.938128 0.924061
spec-6443-56367-0072.fits  0.975904 0.946863 0.924047
spec-4889-55709-0738.fits  0.923722 1.000000 0.923722
spec-6164-56181-0678.fits  0.923026 1.000000 0.923026
spec-6583-56566-0942.fits  0.922360 1.000000 0.922360
spec-6293-56561-0560.fits  0.956030 0.964333 0.921931
spec-6441-56364-0262.fits  0.921533 1.000000 0.921533
spec-7169-56628-0180.fits  0.921363 1.000000 0.921363
spec-3766-55213-0203.fits  0.920735 1.000000 0.920735
spec-4770-55928-0600.fits  0.920666 1.000000 0.920666
spec-4784-55677-0650.fits  0.967306 0.951230 0.920131
spec-5429-55979-0910.fits  0.920065 1.000000 0.920065
spec-7334-56656-0056.fits  0.919574 1.000000 0.919574
spec-3589-55186-0282.fits  0.918418 1.000000 0.918418
spec-6268-56245-0193.fits  0.933110 0.983986 0.918167
spec-6677-56385-0872.fits  0.917150 1.000000 0.917150
spec-6190-56210-0075.fits  0.917011 1.000000 0.917011
spec-7110-56746-0572.fits  0.916086 1.000000 0.916086
spec-4640-55927-0293.fits  0.915864 1.000000 0.915864
spec-4452-55536-0844.fits  0.915851 1.000000 0.915851
spec-3933-55335-0708.fits  0.925922 0.989081 0.915812
spec-3814-55535-0616.fits  0.980723 0.933760 0.915760
spec-4772-55654-0982.fits  0.925263 0.989081 0.915161
spec-4013-55629-0182.fits  0.929341 0.983986 0.914458
spec-5160-55895-0868.fits  0.914440 1.000000 0.914440
spec-6417-56308-0806.fits  0.914386 1.000000 0.914386
spec-6625-56386-0108.fits  0.947078 0.965060 0.913988
spec-6603-56567-0064.fits  0.913841 1.000000 0.913841
spec-5367-55986-0926.fits  0.983200 0.929393 0.913779
spec-4649-55621-0744.fits  0.913745 1.000000 0.913745
spec-5210-56003-0346.fits  0.913643 1.000000 0.913643
spec-4702-55618-0278.fits  0.913618 1.000000 0.913618
spec-3832-55289-0472.fits  0.912556 1.000000 0.912556
spec-5950-56211-0192.fits  0.912116 1.000000 0.912116
spec-5185-55978-0652.fits  0.912113 1.000000 0.912113
spec-5436-56015-0440.fits  0.911923 1.000000 0.911923
spec-4059-55360-0092.fits  0.911380 1.000000 0.911380
spec-5389-55953-0934.fits  0.911350 1.000000 0.911350
spec-6788-56428-0592.fits  0.911151 1.000000 0.911151
spec-6641-56383-0572.fits  0.910659 1.000000 0.910659
spec-4063-55364-0950.fits  0.910582 1.000000 0.910582
spec-7306-56684-0866.fits  0.910382 1.000000 0.910382
spec-6588-56536-0621.fits  0.909432 1.000000 0.909432
spec-5728-56334-0480.fits  0.970938 0.935944 0.908743
spec-4391-55866-0328.fits  0.908621 1.000000 0.908620
spec-4771-55925-0190.fits  0.955855 0.949774 0.907847
spec-4299-55827-0600.fits  0.913724 0.991993 0.906408
spec-5946-56101-0978.fits  0.904840 1.000000 0.904840
spec-4466-55857-0398.fits  0.964434 0.938128 0.904762
spec-5195-56048-0553.fits  0.904284 1.000000 0.904284
spec-6982-56444-0045.fits  0.903889 1.000000 0.903889
spec-4414-55882-0216.fits  0.991243 0.911195 0.903216
spec-3586-55181-0348.fits  0.902973 1.000000 0.902973
spec-3879-55244-0778.fits  0.952539 0.947591 0.902617
spec-6874-56550-0524.fits  0.991502 0.909739 0.902008
spec-6810-56447-0438.fits  0.901951 1.000000 0.901951
spec-6006-56105-0022.fits  0.901877 1.000000 0.901877
spec-5117-55925-0831.fits  0.987326 0.913379 0.901802
spec-7424-57160-0720.fits  0.913029 0.987626 0.901731
spec-4081-55365-0630.fits  0.932805 0.966516 0.901572
spec-3865-55272-0184.fits  0.913172 0.986898 0.901208
spec-6827-56428-0990.fits  0.920422 0.978891 0.900992
spec-6113-56219-0474.fits  0.900867 1.000000 0.900867
spec-5462-55978-0416.fits  0.992977 0.906828 0.900459
spec-4049-55591-0572.fits  0.900268 1.000000 0.900268
spec-6182-56190-0074.fits  0.900240 1.000000 0.900240
spec-5185-55978-0742.fits  0.960280 0.937400 0.900167
spec-6744-56399-0320.fits  0.973775 0.924298 0.900058
spec-5702-56221-0953.fits  0.900046 1.000000 0.900046
spec-3927-55333-0322.fits  0.899848 1.000000 0.899848
spec-3942-55338-0411.fits  0.899773 1.000000 0.899773
spec-6439-56358-0018.fits  0.899710 1.000000 0.899710
spec-4871-55928-0064.fits  0.899573 1.000000 0.899573
spec-3811-55538-0754.fits  0.899164 1.000000 0.899164
spec-6403-56357-0802.fits  0.898939 1.000000 0.898939
spec-4867-55924-0272.fits  0.991883 0.906100 0.898745
spec-4741-55704-0542.fits  0.898610 1.000000 0.898610
spec-7127-56566-0446.fits  0.898471 1.000000 0.898471
spec-5442-55978-0662.fits  0.898386 1.000000 0.898386
spec-4479-55592-0732.fits  0.898247 1.000000 0.898247
spec-5386-56008-0676.fits  0.898020 1.000000 0.898020
spec-6792-56432-0156.fits  0.897932 1.000000 0.897932
spec-6806-56419-0246.fits  0.897636 1.000000 0.897636
spec-5117-55925-0113.fits  0.897044 1.000000 0.897044
spec-3784-55269-0808.fits  0.897038 1.000000 0.897038
spec-4464-55866-0950.fits  0.919535 0.975251 0.896778
spec-3769-55240-0770.fits  0.896757 1.000000 0.896757
spec-5483-56017-0702.fits  0.896685 1.000000 0.896685
spec-6150-56187-0943.fits  0.933271 0.960693 0.896587
spec-3769-55240-0099.fits  0.896468 1.000000 0.896468
spec-3808-55513-0310.fits  0.896107 1.000000 0.896107
spec-5057-56209-0926.fits  0.951513 0.941767 0.896104
spec-5004-55711-0073.fits  0.895946 1.000000 0.895946
spec-5706-56165-0386.fits  0.921213 0.972339 0.895732
spec-5000-55715-0570.fits  0.895691 1.000000 0.895691
spec-6190-56210-0078.fits  0.904594 0.989809 0.895376
spec-6986-56717-0308.fits  0.968650 0.924298 0.895321
spec-7094-56660-0052.fits  0.906297 0.987626 0.895083
spec-6320-56453-0640.fits  0.894936 1.000000 0.894936
spec-3609-55201-0247.fits  0.894589 1.000000 0.894589
spec-6042-56101-0947.fits  0.894444 1.000000 0.894444
spec-6370-56238-0278.fits  0.998230 0.895909 0.894323
spec-5025-55836-0620.fits  0.894277 1.000000 0.894277
spec-6031-56091-0304.fits  0.982967 0.909739 0.894244
spec-4548-55565-0963.fits  0.893982 1.000000 0.893982
spec-4204-55470-0608.fits  0.906109 0.985442 0.892918
spec-6448-56365-0774.fits  0.913348 0.977435 0.892738
spec-5053-56213-0224.fits  0.892547 1.000000 0.892547
spec-7128-56567-0281.fits  0.917134 0.973067 0.892433
spec-4802-55652-0148.fits  0.920548 0.969428 0.892405
spec-7374-56751-0939.fits  0.892358 1.000000 0.892358
spec-3832-55289-0814.fits  0.935894 0.953414 0.892294
spec-4258-55481-0211.fits  0.892006 1.000000 0.892006
spec-4062-55383-0056.fits  0.891841 1.000000 0.891841
spec-4878-55710-0179.fits  0.946089 0.942495 0.891685
spec-6823-56687-0404.fits  0.891544 1.000000 0.891544
spec-5417-55978-0774.fits  0.889266 1.000000 0.889266
spec-4177-55688-0776.fits  0.889102 1.000000 0.889102
spec-5293-55953-0112.fits  0.986723 0.901005 0.889042
spec-4684-56226-0708.fits  0.983296 0.903916 0.888817
spec-5123-55841-0220.fits  0.888272 1.000000 0.888272
spec-5963-56191-0362.fits  0.887522 1.000000 0.887522
spec-5049-56103-0830.fits  0.887458 1.000000 0.887458
spec-5439-56045-0562.fits  0.991996 0.894453 0.887294
spec-3769-55240-0224.fits  0.992524 0.893725 0.887044
spec-5448-56013-0455.fits  0.886908 1.000000 0.886908
spec-4622-55629-0678.fits  0.886740 1.000000 0.886740
spec-4862-55685-0212.fits  0.938552 0.944679 0.886630
spec-5855-56088-0246.fits  0.886466 1.000000 0.886466
spec-6699-56411-0512.fits  0.891481 0.994177 0.886290
spec-4495-55566-0618.fits  0.886084 1.000000 0.886084
spec-7416-56810-0278.fits  0.935775 0.946863 0.886050
spec-3765-55508-0308.fits  0.885805 1.000000 0.885805
spec-7424-57160-0718.fits  0.885555 1.000000 0.885555
spec-3697-55290-0176.fits  0.885479 1.000000 0.885479
spec-5460-56000-0752.fits  0.885415 1.000000 0.885415
spec-7389-56769-0642.fits  0.916769 0.965788 0.885404
spec-7516-56782-0018.fits  0.885139 1.000000 0.885139
spec-5883-56033-0759.fits  0.884134 1.000000 0.884134
spec-7565-56809-0676.fits  0.883844 1.000000 0.883844
spec-3937-55352-0696.fits  0.909582 0.971612 0.883761
spec-3868-55360-0051.fits  0.883582 1.000000 0.883582
spec-5430-56000-0286.fits  0.883437 1.000000 0.883437
spec-5694-56213-0566.fits  0.955392 0.924298 0.883067
spec-7113-56711-0210.fits  0.882681 1.000000 0.882681
spec-5479-56016-0856.fits  0.882206 1.000000 0.882206
spec-5349-55929-0289.fits  0.882113 1.000000 0.882113
spec-4051-55337-0438.fits  0.901104 0.978891 0.882082
spec-5200-56091-0848.fits  0.883811 0.997816 0.881881
spec-6783-56284-0978.fits  0.976152 0.903188 0.881649
spec-5050-56215-0156.fits  0.881632 1.000000 0.881632
spec-7379-56713-0522.fits  0.881370 1.000000 0.881370
spec-6626-56330-0806.fits  0.881369 1.000000 0.881369
spec-3745-55234-0812.fits  0.973255 0.905372 0.881157
spec-3879-55244-0698.fits  0.880920 1.000000 0.880920
spec-5735-55980-0192.fits  0.897898 0.980346 0.880251
spec-4748-55631-0274.fits  0.879971 1.000000 0.879971
spec-5163-55889-0836.fits  0.879949 1.000000 0.879949
spec-6317-56448-0166.fits  0.902768 0.974523 0.879768
spec-5206-56033-0602.fits  0.879059 1.000000 0.879059
spec-6743-56385-0992.fits  0.907987 0.967972 0.878906
spec-5710-56658-0524.fits  0.878891 1.000000 0.878891
spec-6661-56366-0664.fits  0.953016 0.922114 0.878790
spec-5741-55980-0236.fits  0.878650 1.000000 0.878650
spec-4504-55571-0320.fits  0.878119 1.000000 0.878119
spec-7432-57107-0772.fits  0.965048 0.909739 0.877942
spec-4314-55855-0292.fits  0.920696 0.953414 0.877805
spec-4207-55475-0460.fits  0.877802 1.000000 0.877802
spec-7428-56781-0645.fits  0.934943 0.938856 0.877776
spec-5732-56326-0556.fits  0.877421 1.000000 0.877421
spec-6009-56313-0294.fits  0.932326 0.941039 0.877355
spec-5702-56221-0654.fits  0.877231 1.000000 0.877231
spec-4293-55509-0677.fits  0.908214 0.965788 0.877143
spec-7374-56751-0190.fits  0.877119 1.000000 0.877119
spec-4454-55536-0599.fits  0.876630 1.000000 0.876630
spec-4238-55455-0208.fits  0.927030 0.945407 0.876421
spec-4005-55325-0414.fits  0.983592 0.890814 0.876197
spec-4709-55720-0868.fits  0.875966 1.000000 0.875966
spec-4624-55654-0842.fits  0.875439 1.000000 0.875439
spec-5003-55715-0883.fits  0.875394 1.000000 0.875394
spec-4373-55811-0278.fits  0.875220 1.000000 0.875220
spec-3775-55207-0202.fits  0.874676 1.000000 0.874676
spec-4357-55829-0870.fits  0.874671 1.000000 0.874671
spec-3837-55572-0938.fits  0.886872 0.986170 0.874607
spec-4616-55617-0790.fits  0.904859 0.966516 0.874561
