                          Area.peak KS.trans Combined
spec-4067-55361-0930.fits  0.841670 1.000000 0.841670
spec-4465-55858-0068.fits  0.841365 1.000000 0.841365
spec-4568-55600-0262.fits  0.841303 1.000000 0.841303
spec-5414-56014-0074.fits  0.841255 1.000000 0.841255
spec-6490-56330-0216.fits  0.928802 0.905372 0.840911
spec-7565-56809-0535.fits  0.936316 0.898093 0.840898
spec-4048-55602-0010.fits  0.993454 0.846411 0.840871
spec-5885-56036-0366.fits  0.878588 0.957053 0.840855
spec-6414-56306-0976.fits  0.840783 1.000000 0.840783
spec-7281-57007-0660.fits  0.840779 1.000000 0.840779
spec-6471-56309-0085.fits  0.872457 0.963605 0.840704
spec-3678-55208-0258.fits  0.840061 1.000000 0.840061
spec-5947-56093-0181.fits  0.877673 0.957053 0.839980
spec-6620-56368-0354.fits  0.839831 1.000000 0.839831
spec-7334-56656-0407.fits  0.839740 1.000000 0.839740
spec-5797-56273-0920.fits  0.860938 0.975251 0.839631
spec-5401-55949-0754.fits  0.839596 1.000000 0.839596
spec-3984-55333-0274.fits  0.839472 1.000000 0.839472
spec-3639-55205-0631.fits  0.957964 0.876256 0.839421
spec-4556-55912-0898.fits  0.839243 1.000000 0.839243
spec-7326-56710-0442.fits  0.839152 1.000000 0.839152
spec-6506-56564-0366.fits  0.879352 0.954142 0.839026
spec-6051-56093-0114.fits  0.950371 0.882079 0.838302
spec-3963-55659-0349.fits  0.892709 0.938856 0.838125
spec-4279-55508-0696.fits  0.981548 0.853690 0.837938
spec-7083-56722-0927.fits  0.970674 0.863153 0.837840
spec-4890-55741-0290.fits  0.837785 1.000000 0.837785
spec-6836-56443-0752.fits  0.837659 1.000000 0.837659
spec-6011-56103-0601.fits  0.837547 1.000000 0.837547
spec-4239-55458-0320.fits  0.958814 0.873344 0.837374
spec-6631-56364-0556.fits  0.936066 0.894453 0.837267
spec-7386-56769-0931.fits  0.933734 0.896637 0.837221
spec-6034-56103-0014.fits  0.836852 1.000000 0.836852
spec-6277-56273-0980.fits  0.883764 0.946863 0.836803
spec-3987-55590-0764.fits  0.947778 0.882807 0.836705
spec-7147-56574-0752.fits  0.942314 0.887902 0.836683
