                                                  G         K Composite
data/spec-4347-55830-0615.fits            0.7726131 0.5891793 0.4422532
data/spec-1672-53460-0251.fits            0.7812003 0.5823017 0.4390757
data/spec-6512-56567-0742.fits            0.7384869 0.5997249 0.4345852
data/spec-3755-55504-0496.fits            0.7904214 0.5735901 0.4339938
data/spec-5451-56010-0798.fits            0.7883515 0.5726731 0.4317865
data/spec-6465-56279-0857.fits            0.7672373 0.5735901 0.4212641
data/spec-4801-55653-0130.fits            0.7685391 0.5726731 0.4209351
data/spec-2179-53555-0564.fits            0.7460851 0.5767996 0.4132066
data/spec-0935-52643-0464.fits            0.7456606 0.5763411 0.4124628
data/spec-6754-56414-0896.fits            0.7418057 0.5740486 0.4078047
data/spec-4039-55648-0759.fits            0.7427887 0.5685465 0.4023072
data/spec-4176-55682-0865.fits            0.8096369 0.5300321 0.3938167
